lot,effect,quantity,received,note
vn2405,shell.75.peony.red,30,2025-04-02,
vn2413,shell.75.crossette,20,2025-06-14,
vn2418,shell.75.crossette,20,2025-07-01,
vn2402,shell.100.willow,2,2025-04-02,
vn2406,shell.150.palm,2,2025-04-02,two of four arrived
tb1104,shell.150.kamuro,12,2025-05-20,
tb1106,shell.150.salute,2,2025-05-20,
tb1108,shell.200.brocade,6,2025-05-20,
vn2409,mine.100.gold,12,2025-04-02,
vn2411,cake.silver.25,2,2025-04-02,
vn2412,cake.gold.36,2,2025-04-02,
vn2415,candle.10.blue,4,2025-06-14,
tb1101,gerb.silver,4,2025-03-11,
tb1102,waterfall.gold,4,2025-03-11,
