lot,effect,quantity,received,note
tb2401,gerb.silver,6,2025-03-11,
tb2402,shell.100.willow,4,2025-03-11,
tb2403,waterfall.gold,4,2025-03-11,
tb2404,shell.150.kamuro,10,2025-03-11,
tb2407,shell.150.salute,4,2025-03-11,
tb2409,shell.200.brocade,6,2025-04-30,
vn2405,shell.75.peony.red,12,2025-04-02,opened for the summer wedding
vn2406,shell.75.crossette,24,2025-04-02,
vn2407,mine.100.gold,12,2025-04-02,
vn2408,cake.silver.25,2,2025-04-02,
vn2409,cake.gold.36,2,2025-04-02,
vn2410,shell.150.palm,6,2025-05-14,
vn2411,candle.10.blue,4,2025-05-14,
vn2413,shell.75.peony.red,12,2025-05-14,
vn2418,shell.75.crossette,21,2025-06-01,
