lot,effect,quantity,received,note
vn2401,shell.150.palm,1,2024-11-08,last of the 2024 delivery
vn2405,shell.75.peony.red,30,2025-03-14,
vn2413,shell.75.crossette,40,2025-04-02,
vn2418,shell.100.willow,2,2025-04-02,
vn2422,shell.150.kamuro,12,2025-05-19,
vn2427,shell.150.salute,4,2025-05-19,
vn2430,shell.200.brocade,6,2025-05-19,
vn2435,mine.100.gold,12,2025-06-01,
vn2440,cake.silver.25,2,2025-06-01,
vn2441,cake.gold.36,2,2025-06-01,
vn2445,candle.10.blue,4,2025-06-01,
vn2450,gerb.silver,4,2025-06-01,
vn2451,waterfall.gold,2,2025-06-01,
