lot,effect,quantity,received,note
tm0990,gerb.silver,24,2023-06-01,
tm0991,waterfall.gold,12,2023-06-01,
vn2377,mine.100.gold,18,2024-08-05,
vn2390,shell.75.crossette,40,2024-09-30,
vn2402,cake.silver.25,3,2024-11-12,
vn2403,cake.gold.36,3,2024-11-12,
vn2404,candle.10.blue,10,2024-11-12,
vn2405,shell.75.peony.red,30,2024-11-12,
tm1104,shell.100.willow,6,2025-01-20,
tm1109,shell.150.palm,2,2025-02-11,one case only until the february order lands
tm1112,shell.150.kamuro,12,2025-02-11,
vn2413,shell.75.peony.red,20,2025-03-02,
tm1120,shell.150.salute,6,2025-04-04,
tm1131,shell.200.brocade,6,2025-04-04,
