lot,effect,quantity,received,note
vn2401,shell.200.brocade,6,2025-02-19,
vn2402,shell.150.palm,4,2025-03-11,
vn2403,gerb.silver,6,2025-03-11,
vn2404,waterfall.gold,4,2025-03-11,
vn2405,shell.75.peony.red,20,2025-04-02,
vn2406,shell.75.crossette,40,2025-04-02,
vn2408,mine.100.gold,12,2025-05-02,
vn2409,cake.silver.25,2,2025-05-02,
vn2410,cake.gold.36,2,2025-05-02,
vn2411,shell.100.willow,6,2025-05-20,
vn2412,candle.10.blue,4,2025-05-20,
vn2413,shell.75.peony.red,12,2025-06-14,second delivery from the same maker
vn2414,shell.150.kamuro,8,2025-06-14,
vn2415,shell.150.salute,4,2025-06-14,
