lot,effect,quantity,received,note
vn2405,shell.75.peony.red,30,2025-03-11,
vn2406,shell.75.crossette,24,2025-03-11,
vn2413,shell.75.crossette,16,2025-06-02,second delivery
vn2418,shell.100.willow,2,2025-06-02,
vn2421,shell.150.palm,2,2024-08-19,last of the 2024 order
vn2422,shell.150.kamuro,10,2025-06-02,
vn2423,shell.150.salute,2,2025-06-02,
vn2431,shell.200.brocade,5,2025-06-14,
tb1907,mine.100.gold,12,2025-05-03,
tb1908,cake.silver.25,2,2025-05-03,
tb1909,cake.gold.36,2,2025-05-03,
tb1910,candle.10.blue,4,2025-05-03,
tb1911,gerb.silver,2,,undated in the old book
tb1912,waterfall.gold,2,,
