lot,effect,quantity,received,note
vn2405,shell.75.peony.red,60,2025-09-01,
vn2406,shell.75.crossette,60,2025-09-01,
vn2407,shell.100.willow,20,2025-09-01,
vn2408,shell.150.palm,12,2025-09-01,
vn2418,shell.150.palm,8,2025-09-14,second delivery of the same order
vn2409,shell.150.kamuro,20,2025-09-01,
vn2410,shell.200.brocade,20,2025-09-01,
vn2411,shell.150.salute,20,2025-09-01,
vn2412,cake.silver.25,10,2025-09-01,
vn2413,cake.gold.36,10,2025-09-01,
vn2414,mine.100.gold,40,2025-09-01,
vn2415,candle.10.blue,20,2025-09-01,
vn2416,gerb.silver,10,2025-09-01,
vn2417,waterfall.gold,10,2025-09-01,
