lot,effect,quantity,received,note
tb1180,shell.200.brocade,6,2025-01-30,
tb1181,gerb.silver,10,2025-01-30,
tb1182,waterfall.gold,4,2025-01-30,
vn2405,shell.75.peony.red,30,2025-03-14,
vn2408,mine.100.gold,12,2025-03-14,
vn2409,cake.silver.25,2,2025-03-14,
vn2410,cake.gold.36,2,2025-03-14,
vn2411,candle.10.blue,6,2025-03-14,
vn2412,shell.75.crossette,40,2025-04-02,
vn2413,shell.100.willow,4,2025-04-02,
vn2501,shell.150.palm,2,2025-05-20,two cases came back wet from the summer
vn2502,shell.150.kamuro,12,2025-05-20,
vn2503,shell.150.salute,4,2025-05-20,
