lot,effect,quantity,received,note
vn2405,shell.75.peony.red,20,2025-03-11,
vn2413,shell.75.peony.red,10,2025-05-02,
vn2418,shell.75.crossette,40,2025-05-02,
vn2420,shell.100.willow,2,2025-05-02,
tb1904,shell.150.palm,2,2024-08-19,two cases were water damaged in the store
tb2101,shell.150.kamuro,12,2025-04-30,
tb2104,shell.150.salute,4,2025-04-30,
tb2110,shell.200.brocade,6,2025-04-30,
vn2431,cake.silver.25,2,2025-06-14,
vn2432,cake.gold.36,2,2025-06-14,
vn2440,mine.100.gold,12,2025-06-14,
vn2441,candle.10.blue,4,2025-06-14,
tb2118,gerb.silver,2,2025-04-30,
tb2119,waterfall.gold,2,2025-04-30,
