lot,effect,quantity,received,note
vn2405,shell.75.peony.red,30,2025-08-04,
vn2411,shell.75.peony.red,12,2025-09-02,late delivery
vn2406,shell.75.crossette,40,2025-08-04,
vn2412,shell.75.crossette,6,2025-09-02,late delivery
vn2407,shell.100.willow,6,2025-08-04,
vn2408,shell.150.palm,3,2025-08-04,one short of the show
vn2409,shell.150.kamuro,10,2025-08-04,
vn2410,shell.150.salute,6,2025-08-04,
vn2413,shell.200.brocade,6,2025-08-04,
vn2414,cake.silver.25,2,2025-08-04,
vn2415,cake.gold.36,2,2025-08-04,
vn2416,mine.100.gold,16,2025-08-04,
vn2417,candle.10.blue,8,2025-08-04,
vn2418,gerb.silver,4,2025-08-04,
vn2419,waterfall.gold,4,2025-08-04,
