lot,effect,quantity,received,note
vn2405,shell.75.peony.red,20,2025-03-14,
vn2413,shell.75.peony.red,6,2025-05-02,short delivery
vn2390,shell.75.crossette,45,2025-02-11,
vn2402,shell.100.willow,4,2025-03-14,
vn2405,shell.150.palm,20,2025-03-14,
vn2411,shell.150.kamuro,10,2025-04-20,
vn2417,shell.150.salute,4,2025-05-02,
vn2415,shell.200.brocade,6,2025-05-02,
vn2418,mine.100.gold,14,2025-05-02,
vn2420,cake.silver.25,2,2025-05-19,
vn2421,cake.gold.36,2,2025-05-19,
vn2425,candle.10.blue,4,2025-06-01,
gs1180,gerb.silver,6,2025-01-30,
wf0904,waterfall.gold,4,2025-01-30,
