lot,effect,quantity,received,note
vn2405,shell.75.peony.red,20,2025-04-02,
vn2413,shell.75.peony.red,20,2025-05-14,
vn2405,shell.75.crossette,24,2025-04-02,
vn2418,shell.75.crossette,24,2025-06-03,
vn2419,shell.100.willow,6,2025-06-03,
tb1140,shell.150.palm,6,2025-03-11,
tb1204,shell.150.kamuro,12,2025-05-29,
tb1204,shell.150.salute,6,2025-05-29,
tb1188,shell.200.brocade,4,2025-04-21,split delivery
tb1188,shell.200.brocade,2,2025-05-06,split delivery
vn2405,mine.100.gold,18,2025-04-02,
cx1102,cake.silver.25,4,2025-02-27,
cx1102,cake.gold.36,4,2025-02-27,
cx1119,candle.10.blue,10,2025-05-14,
gz0071,gerb.silver,24,,older stock with no date on the paperwork
gz0072,waterfall.gold,8,,older stock with no date on the paperwork
