lot,effect,quantity,received,note
vn2405,shell.75.peony.red,24,2025-04-05,
vn2413,shell.75.peony.red,16,2025-04-13,
vn2405,shell.75.crossette,20,2025-04-05,
vn2413,shell.75.crossette,15,2025-04-13,short delivery, the rest is on back order
vn2406,shell.100.willow,4,2025-04-06,
vn2407,mine.100.gold,16,2025-04-07,
vn2408,cake.silver.25,2,2025-04-07,
vn2409,cake.gold.36,2,2025-04-07,
vn2410,candle.10.blue,4,2025-04-07,
tb2312,shell.150.palm,6,2025-03-12,
tb2313,shell.150.kamuro,10,2025-03-12,
tb2314,shell.150.salute,4,2025-03-12,
tb2315,shell.200.brocade,6,2025-03-12,
tb2316,gerb.silver,6,2025-03-12,
tb2317,waterfall.gold,4,2025-03-12,
