lot,effect,quantity,received,note
vn2405,shell.75.peony.red,30,2025-03-11,
vn2406,shell.75.crossette,20,2025-03-11,
vn2417,shell.75.crossette,20,2025-05-02,
vn2410,shell.100.willow,4,2025-04-08,
vn2411,shell.150.palm,2,2025-04-08,two cases of the four came in wet
vn2412,shell.150.kamuro,12,2025-04-08,
vn2418,shell.150.salute,4,2025-05-02,
vn2419,shell.200.brocade,6,2025-05-02,
vn2420,cake.silver.25,2,2025-05-02,
vn2421,cake.gold.36,2,2025-05-02,
vn2422,mine.100.gold,12,2025-05-02,
vn2423,candle.10.blue,4,2025-05-02,
vn2424,gerb.silver,2,2025-05-02,
vn2425,waterfall.gold,2,2025-05-02,
