id,kind,name,calibre,break,hang,diameter,shots,interval,spread,height,duration,style,maker
shell.75.peony.red,shell,three inch red peony,75mm,peony,1.8,68,,,,,,,vulcan
shell.75.crossette,shell,three inch crossette,75mm,crossette,2.0,72,,,,,,,vulcan
shell.100.willow,shell,four inch willow,100mm,willow,3.4,92,,,,,,,vulcan
shell.150.palm,shell,six inch gold palm,150mm,palm,2.6,138,,,,,,,vulcan
shell.150.kamuro,shell,six inch kamuro,150mm,kamuro,4.2,132,,,,,,,tamburro
shell.200.brocade,shell,eight inch brocade,200mm,brocade,5.0,186,,,,,,,tamburro
shell.150.salute,shell,six inch salute,150mm,salute,0.4,40,,,,,,,tamburro
cake.silver.25,cake,twenty five shot silver,30mm,,1.2,,25,0.18,,,,,vulcan
cake.gold.36,cake,thirty six shot gold,30mm,,1.4,,36,0.14,,,,,vulcan
mine.100.gold,mine,four inch gold mine,100mm,,1.9,,,,45,36,,,vulcan
candle.10.blue,candle,ten shot blue candle,30mm,,,,10,0.55,,42,,,vulcan
gerb.silver,ground,silver gerb,,,,,,,,4,25,gerb,tamburro
waterfall.gold,ground,gold waterfall,,,,,,,,8,40,waterfall,tamburro
