trip_id,driver,city,fare,tip,started_at,status
1001,ana,lisbon,12.40,2.00,2026-05-02 08:14:00,completed
1002,bruno,lisbon,7.25,0.00,2026-05-02 09:02:00,completed
1003,ana,porto,31.10,5.50,2026-05-02 09:40:00,completed
1004,chen,lisbon,,,2026-05-02 10:05:00,cancelled
1005,bruno,porto,18.75,1.25,2026-05-03 07:55:00,completed
1006,ana,lisbon,9.60,1.00,2026-05-03 08:30:00,completed
1007,dara,braga,22.00,0.00,2026-05-03 11:12:00,completed
1008,chen,porto,15.30,2.75,2026-05-04 06:48:00,completed
1009,dara,braga,,,2026-05-04 07:20:00,cancelled
1010,ana,lisbon,41.85,6.00,2026-05-04 18:03:00,completed
1011,bruno,lisbon,5.50,0.50,2026-05-05 12:00:00,completed
1012,chen,lisbon,27.40,3.00,2026-05-05 19:45:00,completed
